,UnitID,Institution Name
0,210508,Academy of Vocal Arts
4,210809,American College of Financial Services
9,444103,Byzantine Catholic Seminary of Saints Cyril and Methodius
26,212443,Evangelical Theological Seminary
29,456542,Geisinger Commonwealth School of Medicine
32,212771,Gratz College
39,448691,International Institute for Restorative Practices
47,407629,Lake Erie College of Osteopathic Medicine
49,213446,Lancaster Theological Seminary
58,211130,Missio Theological Seminary
68,215123,Philadelphia College of Osteopathic Medicine
70,215424,Pittsburgh Theological Seminary
72,215619,Reconstructionist Rabbinical College
73,215628,Reformed Presbyterian Theological Seminary
80,215813,Saint Vincent Seminary
81,214564,Salus University
87,216348,Theological Seminary of the Reformed Episcopal Church
90,216463,Trinity Episcopal School for Ministry
91,213631,United Lutheran Seminary
101,216816,Westminster Theological Seminary
105,442064,Won Institute of Graduate Studies
